SubjectID	c_hap_f1.RT	c_hap_f2.RT	c_hap_f3.RT	c_hap_f4.RT	c_hap_f5.RT	c_hap_m1.RT	c_hap_m2.RT	c_hap_m3.RT	c_hap_m4.RT	c_hap_m5.RT	c_sad_f1.RT	c_sad_f2.RT	c_sad_f3.RT	c_sad_f4.RT	c_sad_f5.RT	c_sad_m1.RT	c_sad_m2.RT	c_sad_m3.RT	c_sad_m4.RT	c_sad_m5.RT	i_hap_f1.RT	i_hap_f2.RT	i_hap_f3.RT	i_hap_f4.RT	i_hap_f5.RT	i_hap_m1.RT	i_hap_m2.RT	i_hap_m3.RT	i_hap_m4.RT	i_hap_m5.RT	i_sad_f1.RT	i_sad_f2.RT	i_sad_f3.RT	i_sad_f4.RT	i_sad_f5.RT	i_sad_m1.RT	i_sad_m2.RT	i_sad_m3.RT	i_sad_m4.RT	i_sad_m5.RT	c_hap_f1.ACC	c_hap_f2.ACC	c_hap_f3.ACC	c_hap_f4.ACC	c_hap_f5.ACC	c_hap_m1.ACC	c_hap_m2.ACC	c_hap_m3.ACC	c_hap_m4.ACC	c_hap_m5.ACC	c_sad_f1.ACC	c_sad_f2.ACC	c_sad_f3.ACC	c_sad_f4.ACC	c_sad_f5.ACC	c_sad_m1.ACC	c_sad_m2.ACC	c_sad_m3.ACC	c_sad_m4.ACC	c_sad_m5.ACC	i_hap_f1.ACC	i_hap_f2.ACC	i_hap_f3.ACC	i_hap_f4.ACC	i_hap_f5.ACC	i_hap_m1.ACC	i_hap_m2.ACC	i_hap_m3.ACC	i_hap_m4.ACC	i_hap_m5.ACC	i_sad_f1.ACC	i_sad_f2.ACC	i_sad_f3.ACC	i_sad_f4.ACC	i_sad_f5.ACC	i_sad_m1.ACC	i_sad_m2.ACC	i_sad_m3.ACC	i_sad_m4.ACC	i_sad_m5.ACC	c_hap_f1.nTrial	c_hap_f2.nTrial	c_hap_f3.nTrial	c_hap_f4.nTrial	c_hap_f5.nTrial	c_hap_m1.nTrial	c_hap_m2.nTrial	c_hap_m3.nTrial	c_hap_m4.nTrial	c_hap_m5.nTrial	c_sad_f1.nTrial	c_sad_f2.nTrial	c_sad_f3.nTrial	c_sad_f4.nTrial	c_sad_f5.nTrial	c_sad_m1.nTrial	c_sad_m2.nTrial	c_sad_m3.nTrial	c_sad_m4.nTrial	c_sad_m5.nTrial	i_hap_f1.nTrial	i_hap_f2.nTrial	i_hap_f3.nTrial	i_hap_f4.nTrial	i_hap_f5.nTrial	i_hap_m1.nTrial	i_hap_m2.nTrial	i_hap_m3.nTrial	i_hap_m4.nTrial	i_hap_m5.nTrial	i_sad_f1.nTrial	i_sad_f2.nTrial	i_sad_f3.nTrial	i_sad_f4.nTrial	i_sad_f5.nTrial	i_sad_m1.nTrial	i_sad_m2.nTrial	i_sad_m3.nTrial	i_sad_m4.nTrial	i_sad_m5.nTrial	
12002	441.67	412	468.5	410.67	390.67	359	434.67	425	410.5	418	378	420.67	397.33	444.33	411.5	329	416.5	434.33	420	429	442.33	457.67	501.5	379.5	409	417.67	457.33	431	426.5	366.5	476.5	433.33	404.5	396.5	388.67	508.5	440.33	461	432.33	455	1	0.66667	0.66667	1	1	0.66667	1	1	0.66667	0.66667	0.66667	1	1	1	0.66667	0.66667	0.66667	1	1	0.66667	1	1	1	0.66667	0.66667	1	1	1	0.66667	0.66667	0.66667	1	0.66667	0.66667	1	0.66667	1	0.33333	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12010	553.5	545.5	600.5	396.5	438.67	468.5	574	543.67	426.33	527.5	668	543.67	468	537	526.67	476	565	502	524.67	527.67	549	517.67	464.75	402.67	521	441.33	589.67	507.33	428	392	446	620.67	592	623	443	544.5	483.67	480.67	544	569	0.66667	0.66667	0.66667	0.66667	1	0.66667	0.66667	1	1	0.66667	0.66667	1	1	0.33333	1	1	1	1	1	1	1	1	1	1	0.33333	1	1	1	1	0.66667	0.33333	1	1	0.66667	0.33333	0.66667	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12016	577.33	521.67	482.5	515	649.67	484.5	551.33	499.33	591	533.5	591.67	543	610.67	580.33	578	527.67	526	584.33	526.33	509	545.67	517	645	625	634.5	633.5	714	527.5	582.33	552.5	623	601.33	560	693	575.5	654.67	657.67	562	688	588	1	1	0.66667	0.66667	1	0.66667	1	1	1	0.66667	1	1	1	1	0.66667	1	0.66667	1	1	1	1	1	0.75	0.33333	0.66667	0.66667	1	0.66667	1	0.66667	1	1	1	0.66667	0.66667	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12017	514.67	496.33	626.5	383	470	654.33	597.33	541.67	595.5	646.5	603	523.67	511.33	569.33	557.33	516	556	461.33	590.67	444	581	678.33	496	604.33	672	582.67	599	477.67	570.5	492	602.5	619	604	577.5	615.5	657	506.33	548.5	559	501.33	1	1	0.66667	0.66667	1	1	1	1	0.66667	0.66667	0.66667	1	1	1	1	0.66667	1	1	1	0.66667	1	1	0.5	1	0.33333	1	0.66667	1	0.66667	1	0.66667	0.66667	1	0.66667	0.66667	0.66667	1	0.66667	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12033	549.33	490	563.5	487.5	425.33	563	402.33	549.33	445	530	483	527	494.67	530.67	546.5	644.5	527.5	506.33	608.67	559.5	470.67	473.67	540.5	468.33	525	484.67	430.67	506.67	439.67	514.5	436	457.5	505.33	572.5	506.33	594.67	523	504.33	516.33	573.33	1	1	0.66667	0.66667	1	0.33333	1	1	1	0.66667	0.66667	1	1	1	0.66667	0.66667	0.66667	1	1	0.66667	1	1	1	1	0.66667	1	1	1	1	0.66667	0.33333	0.66667	1	0.66667	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12040	641	589.67	585.5	526.33	528.67	746	709	554	467.67	553.5	747.5	709.33	518	631.67	692	583.5	684.33	586.67	606	593.33	541.5	531.33	624.5	547.67	667	661	721.5	660	540.67	682.33	832	691	681.67	661	589.5	699.67	596	639.33	647.33	599.33	1	1	0.66667	1	1	0.66667	0.66667	1	1	0.66667	0.66667	1	1	1	1	0.66667	1	1	1	1	0.66667	1	1	1	0.66667	0.66667	0.66667	0.66667	1	1	0.66667	0.66667	1	1	0.66667	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12042	497.67	552	417	454.5	468.67	473.33	598.5	457.5	609.33	404.5	551	515	510	716.5	507.5	513	524.67	560	558	559	557.33	483	469.25	427.33	493.5	479.67	537	487.67	708.33	555.33	641	486	480	502	649.33	581.33	574.33	569.5	485.33	581	1	1	0.66667	0.66667	1	1	0.66667	0.66667	1	0.66667	0.66667	0.66667	1	0.66667	0.66667	1	1	0.66667	1	1	1	1	1	1	0.66667	1	1	1	1	1	1	1	1	0.33333	1	1	1	0.66667	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12048	504.67	612.67	571.5	514.33	485	443.33	444.67	495.33	483.33	508	623.67	543.5	552.33	548.5	568	526.5	491.67	597.33	536.67	560.67	505	593	590.33	436.5	418.5	505.33	507	394.67	584	561	668	540	530.33	493.33	615	584.67	612	534.67	588	527.33	1	1	0.66667	1	1	1	1	1	1	0.66667	1	0.66667	1	0.66667	0.66667	0.66667	1	1	1	1	0.66667	1	0.75	0.66667	0.66667	1	1	1	0.66667	0.66667	0.33333	1	1	1	0.66667	1	1	1	0.66667	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12051	563	503.67	481	360.67	469.67	458.5	448.67	470.67	385.67	399	459	466.33	481.33	485	517.33	492.5	509.67	496.67	507	447.33	508.33	397	397	468	532.5	425.33	569.5	393.33	375.33	410.5	515	498.5	457	559.33	435.67	523	539.67	602.5	456.33	459.67	0.66667	1	0.66667	1	1	0.66667	1	1	1	0.66667	1	1	1	1	1	0.66667	1	1	1	1	1	1	0.75	1	0.66667	1	0.66667	1	1	0.66667	0.33333	0.66667	1	1	1	0.66667	1	0.66667	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12052	577	646	576	514.5	583	597.5	593.67	710	552	682	600	645	608.67	596	581	552.67	542	586.67	552.33	586.67	626	603	651.33	696	531.67	588	NaN	574	590	680.67	517	689.5	611	534	639.67	619.5	601	514	736.5	604.67	0.33333	0.33333	0.66667	0.66667	0.33333	0.66667	1	0.33333	0.66667	0.66667	0.66667	0.33333	1	0.33333	0.66667	1	0.66667	1	1	1	1	0.33333	0.75	0.33333	1	1	0	0.66667	0.33333	1	0.33333	0.66667	1	0.66667	1	0.66667	0.66667	0.66667	0.66667	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
